Title,Authors,Publisher,PublishedDate,ISBN,PageCount,Categories,AverageRating,RatingsCount,Language,Language_en,Language_es,TitleWordCount
Lost in Math,Sabine Hossenfelder,Basic Books,2018-06-12,9780465094264.0,286.0,Science,3.5,2.0,en,1.0,0.0,3
What If?,Randall Munroe,Houghton Mifflin Harcourt,2014-01-01,9780544272996.0,321.0,Fiction,4.0,8.0,en,1.0,0.0,2
Stiff: The Curious Lives of Human Cadavers,Mary Roach,W. W. Norton & Company,2004-05-17,9780393069198.0,305.0,Science,4.0,52.0,en,1.0,0.0,7
The Body,Bill Bryson,Anchor,2019-10-15,9780385539319.0,490.0,Science,4.5,2.0,en,1.0,0.0,2
The Gene,Siddhartha Mukherjee,Simon and Schuster,2016-05-17,9781476733531.0,624.0,Medical,4.5,7.0,en,1.0,0.0,2
Cambridge Primary Science Stage 1 Activity Book,"Jon Board, Alan Cross",Cambridge University Press,2014-05-22,9781107611429.0,27.0,Education,2.0,1.0,en,1.0,0.0,7
Cambridge Primary Science Stage 1 Activity Book,"Jon Board, Alan Cross",Cambridge University Press,2014-05-22,9781107611429.0,27.0,Education,2.0,1.0,en,1.0,0.0,7
Packing for Mars: The Curious Science of Life in the Void,Mary Roach,W. W. Norton & Company,2011-04-04,9780393079104.0,335.0,Science,1.5,2.0,en,1.0,0.0,11
The History Book,DK,Penguin,2016-09-16,9781465457752.0,756.0,History,1.0,1.0,en,1.0,0.0,3
The Ancestor's Tale,Richard Dawkins,Houghton Mifflin Harcourt,2004-01-01,9780618619160.0,696.0,Science,3.5,34.0,en,1.0,0.0,3
Pale Blue Dot,"Carl Sagan, Ann Druyan",Ballantine Books,2011-07-06,9780307801012.0,386.0,Science,5.0,1.0,en,1.0,0.0,3
The Code Breaker,Walter Isaacson,Simon and Schuster,2021-03-09,9781982115876.0,560.0,Biography & Autobiography,4.5,2.0,en,1.0,0.0,3
The Disappearing Spoon,Sam Kean,"Little, Brown",2010-07-12,9780316089081.0,333.0,Science,4.0,13.0,en,1.0,0.0,3
A People's History of Science,Clifford Conner,Bold Type Books,2005-11-08,9781560257486.0,572.0,Science,4.0,4.0,en,1.0,0.0,5
Physics of the Impossible,Michio Kaku,Anchor,2008-03-11,9780385525442.0,354.0,Science,4.5,25.0,en,1.0,0.0,4
Biology,"Neil A. Campbell, Jane B. Reece",Benjamin-Cummings Publishing Company,2005-01-01,9780805371710.0,1398.0,Science,5.0,1.0,en,1.0,0.0,1
The Greatest Show on Earth,Richard Dawkins,Simon and Schuster,2009-09-22,9781416597780.0,477.0,Science,4.5,18.0,en,1.0,0.0,5
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,W. W. Norton & Company,2010-09-21,9780393338102.0,447.0,Science,5.0,8.0,en,1.0,0.0,13
